Arrival Time,Total Time,Time in System,Rx HWQ Time,SWQ Time,Tx HWQ Time,Request Service Time,Preempt Count,Steal Count,Original Queue,Total Queue Length,Queue Checks,Requeue Wait Time
1685,5475,5354,215,140,122,5000,0,0,None,None,0,0
2046,5474,5393,254,140,82,5000,0,0,None,None,0,0
2067,5713,5572,433,140,142,5000,0,0,None,None,0,0
2310,5730,5629,490,140,102,5000,0,0,None,None,0,0
2837,5463,5402,263,140,62,5000,0,0,None,None,0,0
8574,5486,5365,226,140,122,5000,0,0,None,None,0,0
9371,5449,5368,229,140,82,5000,0,0,None,None,0,0
12036,5544,5403,264,140,142,5000,0,0,None,None,0,0
12646,5494,5393,254,140,102,5000,0,0,None,None,0,0
16555,5545,5404,265,140,142,5000,0,0,None,None,0,0
17532,5628,5487,348,140,142,5000,0,0,None,None,0,0
18194,5526,5385,246,140,142,5000,0,0,None,None,0,0
20761,5519,5418,279,140,102,5000,0,0,None,None,0,0
23136,5604,5463,324,140,142,5000,0,0,None,None,0,0
24571,5529,5388,249,140,142,5000,0,0,None,None,0,0
25808,5452,5351,212,140,102,5000,0,0,None,None,0,0
39664,5556,5435,296,140,122,5000,0,0,None,None,0,0
41582,5498,5417,278,140,82,5000,0,0,None,None,0,0
45490,5450,5369,230,140,82,5000,0,0,None,None,0,0
55591,5509,5388,249,140,122,5000,0,0,None,None,0,0
56747,5513,5432,293,140,82,5000,0,0,None,None,0,0
62785,5535,5414,275,140,122,5000,0,0,None,None,0,0
68765,5515,5394,255,140,122,5000,0,0,None,None,0,0
72088,5452,5371,232,140,82,5000,0,0,None,None,0,0
74560,5440,5359,220,140,82,5000,0,0,None,None,0,0
75750,5510,5369,230,140,142,5000,0,0,None,None,0,0
76099,5521,5420,281,140,102,5000,0,0,None,None,0,0
81909,5471,5350,211,140,122,5000,0,0,None,None,0,0
83666,5474,5393,254,140,82,5000,0,0,None,None,0,0
85155,5645,5404,265,140,242,5000,0,0,None,None,0,0
88741,5519,5378,239,140,142,5000,0,0,None,None,0,0
90399,5521,5380,241,140,142,5000,0,0,None,None,0,0
92011,5569,5428,289,140,142,5000,0,0,None,None,0,0
92967,5473,5372,233,140,102,5000,0,0,None,None,0,0
96344,5556,5415,276,140,142,5000,0,0,None,None,0,0
104649,5611,5390,251,140,222,5000,0,0,None,None,0,0
105187,5433,5352,213,140,82,5000,0,0,None,None,0,0
105537,5543,5402,263,140,142,5000,0,0,None,None,0,0
106345,5495,5394,255,140,102,5000,0,0,None,None,0,0
109640,5460,5399,260,140,62,5000,0,0,None,None,0,0
109648,5912,5591,452,140,322,5000,0,0,None,None,0,0
115192,5428,5347,208,140,82,5000,0,0,None,None,0,0
116072,5508,5427,288,140,82,5000,0,0,None,None,0,0
118907,5633,5392,253,140,242,5000,0,0,None,None,0,0
119526,5474,5373,234,140,102,5000,0,0,None,None,0,0
120829,5531,5430,291,140,102,5000,0,0,None,None,0,0
124150,5470,5369,230,140,102,5000,0,0,None,None,0,0
132499,5481,5360,221,140,122,5000,0,0,None,None,0,0
136357,5483,5402,263,140,82,5000,0,0,None,None,0,0
139412,5488,5407,268,140,82,5000,0,0,None,None,0,0
140423,5537,5396,257,140,142,5000,0,0,None,None,0,0
141224,5496,5395,256,140,102,5000,0,0,None,None,0,0
141787,5793,5492,353,140,302,5000,0,0,None,None,0,0
142990,5450,5389,250,140,62,5000,0,0,None,None,0,0
145978,5522,5421,282,140,102,5000,0,0,None,None,0,0
147172,5488,5387,248,140,102,5000,0,0,None,None,0,0
152665,5555,5434,295,140,122,5000,0,0,None,None,0,0
160899,5581,5360,221,140,222,5000,0,0,None,None,0,0
165234,5506,5425,286,140,82,5000,0,0,None,None,0,0
166114,5486,5345,206,140,142,5000,0,0,None,None,0,0
172311,5549,5428,289,140,122,5000,0,0,None,None,0,0
172585,5535,5454,315,140,82,5000,0,0,None,None,0,0
172966,5514,5373,234,140,142,5000,0,0,None,None,0,0
173702,5738,5437,298,140,302,5000,0,0,None,None,0,0
174359,5441,5380,241,140,62,5000,0,0,None,None,0,0
175664,5496,5375,236,140,122,5000,0,0,None,None,0,0
177121,5499,5418,279,140,82,5000,0,0,None,None,0,0
179010,5470,5409,270,140,62,5000,0,0,None,None,0,0
186884,5556,5435,296,140,122,5000,0,0,None,None,0,0
188599,5501,5420,281,140,82,5000,0,0,None,None,0,0
191280,5780,5439,300,140,342,5000,0,0,None,None,0,0
196632,5488,5407,268,140,82,5000,0,0,None,None,0,0
197537,5443,5362,223,140,82,5000,0,0,None,None,0,0
197585,5755,5614,475,140,142,5000,0,0,None,None,0,0
208779,5521,5400,261,140,122,5000,0,0,None,None,0,0
209017,5743,5462,323,140,282,5000,0,0,None,None,0,0
211231,5489,5348,209,140,142,5000,0,0,None,None,0,0
214292,5588,5447,308,140,142,5000,0,0,None,None,0,0
216229,5511,5370,231,140,142,5000,0,0,None,None,0,0
222718,5482,5361,222,140,122,5000,0,0,None,None,0,0
230404,5556,5435,296,140,122,5000,0,0,None,None,0,0
232753,5467,5386,247,140,82,5000,0,0,None,None,0,0
232975,5605,5464,325,140,142,5000,0,0,None,None,0,0
238460,5580,5459,320,140,122,5000,0,0,None,None,0,0
243979,5521,5400,261,140,122,5000,0,0,None,None,0,0
244368,5492,5411,272,140,82,5000,0,0,None,None,0,0
245641,5579,5438,299,140,142,5000,0,0,None,None,0,0
246389,5491,5390,251,140,102,5000,0,0,None,None,0,0
253928,5512,5391,252,140,122,5000,0,0,None,None,0,0
257092,5708,5427,288,140,282,5000,0,0,None,None,0,0
257751,5509,5368,229,140,142,5000,0,0,None,None,0,0
261992,5528,5387,248,140,142,5000,0,0,None,None,0,0
262366,5514,5413,274,140,102,5000,0,0,None,None,0,0
263247,5593,5452,313,140,142,5000,0,0,None,None,0,0
270032,5468,5347,208,140,122,5000,0,0,None,None,0,0
272701,5459,5378,239,140,82,5000,0,0,None,None,0,0
273070,5550,5409,270,140,142,5000,0,0,None,None,0,0
273286,5594,5493,354,140,102,5000,0,0,None,None,0,0
277031,5509,5408,269,140,102,5000,0,0,None,None,0,0
282170,5430,5349,210,140,82,5000,0,0,None,None,0,0
284145,5515,5434,295,140,82,5000,0,0,None,None,0,0
285187,5533,5392,253,140,142,5000,0,0,None,None,0,0
287486,5594,5453,314,140,142,5000,0,0,None,None,0,0
291321,5519,5438,299,140,82,5000,0,0,None,None,0,0
295658,5442,5361,222,140,82,5000,0,0,None,None,0,0
298414,5646,5365,226,140,282,5000,0,0,None,None,0,0
298791,5529,5388,249,140,142,5000,0,0,None,None,0,0
299598,5482,5381,242,140,102,5000,0,0,None,None,0,0
300737,5403,5342,203,140,62,5000,0,0,None,None,0,0
301117,5483,5422,283,140,62,5000,0,0,None,None,0,0
301322,5638,5517,378,140,122,5000,0,0,None,None,0,0
302400,5520,5439,300,140,82,5000,0,0,None,None,0,0
303665,5515,5374,235,140,142,5000,0,0,None,None,0,0
308058,5482,5401,262,140,82,5000,0,0,None,None,0,0
310163,5637,5356,217,140,282,5000,0,0,None,None,0,0
310563,5497,5356,217,140,142,5000,0,0,None,None,0,0
315364,5556,5415,276,140,142,5000,0,0,None,None,0,0
316268,5512,5431,292,140,82,5000,0,0,None,None,0,0
321073,5467,5386,247,140,82,5000,0,0,None,None,0,0
321129,5771,5630,491,140,142,5000,0,0,None,None,0,0
324093,5767,5426,287,140,342,5000,0,0,None,None,0,0
324948,5472,5371,232,140,102,5000,0,0,None,None,0,0
325996,5484,5423,284,140,62,5000,0,0,None,None,0,0
329482,5458,5357,218,140,102,5000,0,0,None,None,0,0
338253,5547,5426,287,140,122,5000,0,0,None,None,0,0
340838,5422,5341,202,140,82,5000,0,0,None,None,0,0
349656,5464,5343,204,140,122,5000,0,0,None,None,0,0
356487,5493,5372,233,140,122,5000,0,0,None,None,0,0
357507,5433,5352,213,140,82,5000,0,0,None,None,0,0
357911,5589,5348,209,140,242,5000,0,0,None,None,0,0
358876,5484,5383,244,140,102,5000,0,0,None,None,0,0
362398,5522,5421,282,140,102,5000,0,0,None,None,0,0
363100,5480,5379,240,140,102,5000,0,0,None,None,0,0
365707,5533,5392,253,140,142,5000,0,0,None,None,0,0
367185,5515,5414,275,140,102,5000,0,0,None,None,0,0
369939,5521,5380,241,140,142,5000,0,0,None,None,0,0
370367,5453,5352,213,140,102,5000,0,0,None,None,0,0
379254,5526,5405,266,140,122,5000,0,0,None,None,0,0
379561,5479,5398,259,140,82,5000,0,0,None,None,0,0
383352,5548,5407,268,140,142,5000,0,0,None,None,0,0
389473,5487,5366,227,140,122,5000,0,0,None,None,0,0
397208,5512,5391,252,140,122,5000,0,0,None,None,0,0
400152,5428,5347,208,140,82,5000,0,0,None,None,0,0
402067,5573,5432,293,140,142,5000,0,0,None,None,0,0
408601,5499,5378,239,140,122,5000,0,0,None,None,0,0
410038,5422,5341,202,140,82,5000,0,0,None,None,0,0
410729,5491,5350,211,140,142,5000,0,0,None,None,0,0
411222,5458,5357,218,140,102,5000,0,0,None,None,0,0
411730,5410,5349,210,140,62,5000,0,0,None,None,0,0
418098,5502,5381,242,140,122,5000,0,0,None,None,0,0
420749,5511,5430,291,140,82,5000,0,0,None,None,0,0
430110,5510,5389,250,140,122,5000,0,0,None,None,0,0
432503,5477,5396,257,140,82,5000,0,0,None,None,0,0
440342,5598,5377,238,140,222,5000,0,0,None,None,0,0
441615,5485,5404,265,140,82,5000,0,0,None,None,0,0
445045,5515,5374,235,140,142,5000,0,0,None,None,0,0
445498,5522,5421,282,140,102,5000,0,0,None,None,0,0
466358,5722,5401,262,140,322,5000,0,0,None,None,0,0
467351,5489,5408,269,140,82,5000,0,0,None,None,0,0
469361,5539,5398,259,140,142,5000,0,0,None,None,0,0
471665,5495,5394,255,140,102,5000,0,0,None,None,0,0
473618,5502,5361,222,140,142,5000,0,0,None,None,0,0
480695,5485,5364,225,140,122,5000,0,0,None,None,0,0
484795,5445,5364,225,140,82,5000,0,0,None,None,0,0
488949,5451,5370,231,140,82,5000,0,0,None,None,0,0
491777,5483,5402,263,140,82,5000,0,0,None,None,0,0
496175,5445,5364,225,140,82,5000,0,0,None,None,0,0
500449,5431,5350,211,140,82,5000,0,0,None,None,0,0
508608,5532,5411,272,140,122,5000,0,0,None,None,0,0
521216,5484,5363,224,140,122,5000,0,0,None,None,0,0
523929,5431,5350,211,140,82,5000,0,0,None,None,0,0
524348,5572,5431,292,140,142,5000,0,0,None,None,0,0
524528,5652,5551,412,140,102,5000,0,0,None,None,0,0
526116,5424,5363,224,140,62,5000,0,0,None,None,0,0
526985,5415,5354,215,140,62,5000,0,0,None,None,0,0
528647,5513,5392,253,140,122,5000,0,0,None,None,0,0
535360,5560,5439,300,140,122,5000,0,0,None,None,0,0
539580,5500,5419,280,140,82,5000,0,0,None,None,0,0
543549,5491,5410,271,140,82,5000,0,0,None,None,0,0
547349,5451,5370,231,140,82,5000,0,0,None,None,0,0
