Thread ID,Type,Busy Time,Task Time,Network Time,Preempt Time
0,<class 'sim_thread.WorkerThread'>,674581,655121,0,0
1,<class 'sim_thread.WorkerThread'>,497641,472581,0,0
2,<class 'sim_thread.WorkerThread'>,313040,280000,0,0
3,<class 'sim_thread.WorkerThread'>,193640,155000,0,0
4,<class 'sim_thread.WorkerThread'>,118120,75000,0,0
5,<class 'sim_thread.WorkerThread'>,70780,25000,0,0
6,<class 'sim_thread.WorkerThread'>,65920,20000,0,0
7,<class 'sim_thread.WorkerThread'>,57040,10000,0,0
8,<class 'sim_thread.WorkerThread'>,52320,5000,0,0
9,<class 'sim_thread.WorkerThread'>,52460,5000,0,0
10,<class 'sim_thread.WorkerThread'>,52600,5000,0,0
11,<class 'sim_thread.WorkerThread'>,48020,0,0,0
12,<class 'sim_thread.WorkerThread'>,48020,0,0,0
13,<class 'sim_thread.WorkerThread'>,48020,0,0,0
14,<class 'sim_thread.WorkerThread'>,48020,0,0,0
15,<class 'sim_thread.WorkerThread'>,48020,0,0,0
