Arrival Time,Total Time,Time in System,Rx HWQ Time,SWQ Time,Tx HWQ Time,Request Service Time,Preempt Count,Steal Count,Original Queue,Total Queue Length,Queue Checks,Requeue Wait Time
400,5560,5439,300,140,122,5000,0,0,None,None,0,0
8314,5506,5385,246,140,122,5000,0,0,None,None,0,0
8639,5441,5360,221,140,82,5000,0,0,None,None,0,0
10971,5569,5428,289,140,142,5000,0,0,None,None,0,0
11449,5451,5350,211,140,102,5000,0,0,None,None,0,0
11485,5675,5614,475,140,62,5000,0,0,None,None,0,0
18181,5539,5418,279,140,122,5000,0,0,None,None,0,0
19680,5500,5419,280,140,82,5000,0,0,None,None,0,0
24332,5508,5427,288,140,82,5000,0,0,None,None,0,0
26753,5447,5366,227,140,82,5000,0,0,None,None,0,0
27918,5542,5401,262,140,142,5000,0,0,None,None,0,0
33963,5557,5436,297,140,122,5000,0,0,None,None,0,0
41785,5495,5374,235,140,122,5000,0,0,None,None,0,0
44877,5463,5382,243,140,82,5000,0,0,None,None,0,0
49968,5432,5351,212,140,82,5000,0,0,None,None,0,0
52742,5518,5437,298,140,82,5000,0,0,None,None,0,0
54050,5570,5429,290,140,142,5000,0,0,None,None,0,0
60768,5512,5391,252,140,122,5000,0,0,None,None,0,0
70417,5523,5402,263,140,122,5000,0,0,None,None,0,0
71624,5476,5395,256,140,82,5000,0,0,None,None,0,0
78095,5465,5344,205,140,122,5000,0,0,None,None,0,0
83169,5451,5370,231,140,82,5000,0,0,None,None,0,0
83331,5649,5568,429,140,82,5000,0,0,None,None,0,0
83528,6012,5671,532,140,342,5000,0,0,None,None,0,0
84993,5507,5406,267,140,102,5000,0,0,None,None,0,0
85134,5626,5565,426,140,62,5000,0,0,None,None,0,0
85354,5866,5545,406,140,322,5000,0,0,None,None,0,0
85528,5692,5671,532,140,22,5000,0,0,None,None,0,0
85708,5772,5691,552,140,82,5000,0,0,None,None,0,0
86108,5732,5591,452,140,142,5000,0,0,None,None,0,0
86982,5518,5417,278,140,102,5000,0,0,None,None,0,0
87495,5465,5404,265,140,62,5000,0,0,None,None,0,0
89119,5701,5400,261,140,302,5000,0,0,None,None,0,0
89217,5763,5662,523,140,102,5000,0,0,None,None,0,0
90747,5593,5452,313,140,142,5000,0,0,None,None,0,0
93011,5489,5388,249,140,102,5000,0,0,None,None,0,0
94363,5497,5436,297,140,62,5000,0,0,None,None,0,0
104219,5501,5380,241,140,122,5000,0,0,None,None,0,0
110790,5490,5369,230,140,122,5000,0,0,None,None,0,0
111360,5480,5399,260,140,82,5000,0,0,None,None,0,0
114978,5522,5381,242,140,142,5000,0,0,None,None,0,0
117972,5488,5407,268,140,82,5000,0,0,None,None,0,0
123649,5471,5350,211,140,122,5000,0,0,None,None,0,0
130217,5463,5342,203,140,122,5000,0,0,None,None,0,0
136244,5496,5375,236,140,122,5000,0,0,None,None,0,0
136649,5451,5370,231,140,82,5000,0,0,None,None,0,0
137134,5526,5385,246,140,142,5000,0,0,None,None,0,0
140937,5483,5382,243,140,102,5000,0,0,None,None,0,0
142588,5692,5411,272,140,282,5000,0,0,None,None,0,0
143749,5491,5350,211,140,142,5000,0,0,None,None,0,0
144757,5543,5342,203,140,202,5000,0,0,None,None,0,0
147877,5483,5382,243,140,102,5000,0,0,None,None,0,0
149908,5512,5371,232,140,142,5000,0,0,None,None,0,0
156600,5480,5359,220,140,122,5000,0,0,None,None,0,0
163731,5509,5388,249,140,122,5000,0,0,None,None,0,0
173473,5527,5406,267,140,122,5000,0,0,None,None,0,0
177564,5496,5415,276,140,82,5000,0,0,None,None,0,0
178982,5538,5457,318,140,82,5000,0,0,None,None,0,0
179345,5535,5394,255,140,142,5000,0,0,None,None,0,0
181251,5489,5388,249,140,102,5000,0,0,None,None,0,0
185573,5427,5346,207,140,82,5000,0,0,None,None,0,0
187347,5513,5432,293,140,82,5000,0,0,None,None,0,0
189818,5502,5361,222,140,142,5000,0,0,None,None,0,0
191299,5481,5340,201,140,142,5000,0,0,None,None,0,0
193018,5522,5381,242,140,142,5000,0,0,None,None,0,0
193930,5570,5369,230,140,202,5000,0,0,None,None,0,0
194653,5407,5346,207,140,62,5000,0,0,None,None,0,0
197428,5492,5391,252,140,102,5000,0,0,None,None,0,0
199088,5492,5391,252,140,102,5000,0,0,None,None,0,0
201266,5574,5433,294,140,142,5000,0,0,None,None,0,0
203142,5558,5417,278,140,142,5000,0,0,None,None,0,0
212854,5506,5385,246,140,122,5000,0,0,None,None,0,0
216953,5667,5386,247,140,282,5000,0,0,None,None,0,0
220220,5460,5379,240,140,82,5000,0,0,None,None,0,0
222193,5647,5406,267,140,242,5000,0,0,None,None,0,0
223393,5507,5366,227,140,142,5000,0,0,None,None,0,0
223566,5594,5493,354,140,102,5000,0,0,None,None,0,0
227405,5515,5414,275,140,102,5000,0,0,None,None,0,0
227802,5578,5477,338,140,102,5000,0,0,None,None,0,0
227965,5675,5614,475,140,62,5000,0,0,None,None,0,0
229582,5518,5417,278,140,102,5000,0,0,None,None,0,0
230561,5499,5438,299,140,62,5000,0,0,None,None,0,0
234030,5490,5349,210,140,142,5000,0,0,None,None,0,0
234942,5638,5497,358,140,142,5000,0,0,None,None,0,0
244465,5475,5354,215,140,122,5000,0,0,None,None,0,0
247692,5508,5427,288,140,82,5000,0,0,None,None,0,0
250883,5477,5396,257,140,82,5000,0,0,None,None,0,0
254448,5472,5391,252,140,82,5000,0,0,None,None,0,0
258062,5518,5437,298,140,82,5000,0,0,None,None,0,0
260913,5427,5346,207,140,82,5000,0,0,None,None,0,0
270282,5518,5397,258,140,122,5000,0,0,None,None,0,0
272580,5480,5399,260,140,82,5000,0,0,None,None,0,0
276018,5602,5421,282,140,182,5000,0,0,None,None,0,0
281219,5461,5380,241,140,82,5000,0,0,None,None,0,0
283522,5518,5437,298,140,82,5000,0,0,None,None,0,0
286924,5476,5395,256,140,82,5000,0,0,None,None,0,0
291775,5485,5404,265,140,82,5000,0,0,None,None,0,0
293658,5462,5381,242,140,82,5000,0,0,None,None,0,0
297187,5493,5412,273,140,82,5000,0,0,None,None,0,0
298516,5524,5383,244,140,142,5000,0,0,None,None,0,0
301855,5545,5404,265,140,142,5000,0,0,None,None,0,0
307315,5545,5424,285,140,122,5000,0,0,None,None,0,0
308195,5425,5344,205,140,82,5000,0,0,None,None,0,0
308197,5683,5542,403,140,142,5000,0,0,None,None,0,0
309754,5486,5385,246,140,102,5000,0,0,None,None,0,0
312723,5577,5476,337,140,102,5000,0,0,None,None,0,0
313813,5547,5406,267,140,142,5000,0,0,None,None,0,0
314874,5446,5345,206,140,102,5000,0,0,None,None,0,0
315877,5503,5402,263,140,102,5000,0,0,None,None,0,0
319419,5521,5380,241,140,142,5000,0,0,None,None,0,0
322222,5478,5397,258,140,82,5000,0,0,None,None,0,0
322592,5768,5427,288,140,342,5000,0,0,None,None,0,0
323375,5445,5344,205,140,102,5000,0,0,None,None,0,0
323904,5476,5415,276,140,62,5000,0,0,None,None,0,0
325575,5665,5404,265,140,262,5000,0,0,None,None,0,0
327973,5427,5366,227,140,62,5000,0,0,None,None,0,0
329285,5575,5434,295,140,142,5000,0,0,None,None,0,0
330848,5472,5371,232,140,102,5000,0,0,None,None,0,0
334058,5522,5381,242,140,142,5000,0,0,None,None,0,0
339167,5473,5392,253,140,82,5000,0,0,None,None,0,0
340674,5426,5345,206,140,82,5000,0,0,None,None,0,0
343912,5548,5407,268,140,142,5000,0,0,None,None,0,0
346147,5473,5392,253,140,82,5000,0,0,None,None,0,0
347768,5512,5371,232,140,142,5000,0,0,None,None,0,0
353687,5553,5432,293,140,122,5000,0,0,None,None,0,0
358700,5500,5419,280,140,82,5000,0,0,None,None,0,0
360896,5564,5383,244,140,182,5000,0,0,None,None,0,0
365846,5474,5393,254,140,82,5000,0,0,None,None,0,0
365887,5693,5552,413,140,142,5000,0,0,None,None,0,0
366714,5526,5385,246,140,142,5000,0,0,None,None,0,0
375070,5530,5409,270,140,122,5000,0,0,None,None,0,0
377245,5515,5434,295,140,82,5000,0,0,None,None,0,0
386826,5494,5373,234,140,122,5000,0,0,None,None,0,0
393869,5511,5390,251,140,122,5000,0,0,None,None,0,0
400327,5513,5392,253,140,122,5000,0,0,None,None,0,0
401001,5699,5418,279,140,282,5000,0,0,None,None,0,0
401990,5570,5429,290,140,142,5000,0,0,None,None,0,0
402470,5450,5349,210,140,102,5000,0,0,None,None,0,0
403841,5439,5378,239,140,62,5000,0,0,None,None,0,0
405959,5481,5420,281,140,62,5000,0,0,None,None,0,0
406235,5565,5444,305,140,122,5000,0,0,None,None,0,0
406758,5702,5381,242,140,322,5000,0,0,None,None,0,0
